"IDNUM","CDEXE","OTEXE","OTE64F","OTEFDD","OTEFDA","EXTR2","NREG","ZDEFA","ZENVI","FOAGR","FOGEN","TRA05","SEXEP","EFF10","UTANS","UTARG","UTASA","UTATO","UGBBO","UGBCA","UGBHE","UGBOV","UGBPO","UGBTO","SAFVD","SAFER","SAUTI","SUTOT","SFPTO","CHAFF","PRODV","PRODH","PRODT","PRODA","ACHAN","PRODP","PROEX","PBRTCOU","PBRTO","PBRTEXC","PITOT","PROBR","VAFER","VAPBR","EBEXP","RESEX","RESFI","RESCO","RESCP","RESE3","TAIM5","TCIR5","TCAP3","TDTE3","CHRAM","CHRSE","CHRPH","CHRAC","CHRAG","CHRPV","CHRCA","ELECTQUA","ENTBT","ENTMT","LFERM","LMATE","ASSRE","ASSAU","TVANR","TXPRO","TAXES","AIMTX","FPERS","CHSOC","CFINL","CAGR4"
5158,8,50,5120,5100,5074,"83.7762404860016",53,1,0,2,2,8,2,0,"1","1","0","1",0,0,0,0,34,34,0,0,0,1,0,"24762","0","0","0","25131","0","0","25131","25131","25131","0","0","25131","9161","9161","9031","8678","-8","8670","0","8670","7528","8491","4127","11892","0","0","0","0","0","572","845","21938","436","1637","0","0","0","2680",0,"0","0","130","0","0","0","8"
25536,8,16,1630,1600,1516,"50.6930181552517",53,1,0,2,2,8,1,1,"1","3","2.12","3.12",0,0,0,0,0,0,3,3,5,5,0,"160769","0","161819","0","0","0","0","161819","168394","168644","250","0","168394","106003","102715","76688","58715","-945","57770","250","58019","141649","45650","131701","59336","1472","9492","2269","0","0","0","4070","5355","1646","7716","3288","251","0","3758",0,"151","677","791","28588","2307","1031","0"
28109,10,50,5210,5200,5074,"39.0080447932509",53,1,0,3,2,8,1,1,"1","2.97","1.97","2.97",20,0,20,0,0,50,1,13,13,14,9,"1621542","21409","175113","-1320","-160712","277750","1382751","1417241","1458164","1461609","3445","0","1458164","421339","409388","393061","237741","-28284","209457","3445","212902","957508","648378","779191","838226","0","43254","17223","740385","909","7132","6845","249730","4664","9458","11951","2353","0","13283",0,"8440","35","1551","39451","4803","29918","192"
28330,9,45,4500,4500,4500,"63.4415289704602",53,1,0,3,3,7,1,1,"1","2","1","2",21,0,21,0,0,21,1,15,15,15,11,"275652","65395","0","2406","40462","0","172380","280643","304128","304128","0","1614","305742","99819","82010","81896","57562","-753","56809","0","56809","163103","168909","216956","121856","2793","9934","10958","49245","4798","9567","6094","25178","1571","8965","17809","9082","0","3622",0,"936","80","1344","19592","1557","821","22"
29434,9,50,5130,5100,5074,"39.8535274475736",53,1,0,3,3,9,1,0,"1","1","0","1",5,0,5,0,38,40,2,11,12,12,7,"351936","34123","0","2387","311731","0","0","348241","366141","366141","0","0","366141","84021","77193","92637","92637","-2328","90309","0","90308","70448","104154","130370","46066","872","4253","5457","181397","0","11913","3203","63559","592","5107","6828","0","0","5251",0,"465","258","1392","0","0","0","2669"
30638,9,45,4500,4500,4500,"63.4415289704602",53,1,0,1,2,10,1,0,"2","2","0","2",29,0,29,0,0,29,0,15,15,15,11,"312268","53896","0","5280","13985","71940","196963","276487","304507.53","304870.53","363","8843.5","313351.03","75020","48908","75201.53","44029.53","-3142","40887.53","363","41250.53","245929","248710","247202","250543","2286","10158","5149","51319","5799","9048","13235","44943","1227","8119","26112","1689","0","6088",0,"734","0","579","0","0","2607","572"
31572,9,74,7410,5374,5074,"36.1222691444672",53,1,0,3,2,8,1,0,"2","2","0.05","2.05",10,0,10,0,36,41,2,9,10,11,7,"436067","14480","0","385","275063","31423","112806","403724","417783","418670","887","2916","420699","128758","119207","129248","96362","-8599","87763","471","88234","275927","104487","142080","243583","65","3723","2209","179357","0","14171","4427","90012","3309","10257","9551","1451","0","6266",0,"251","454","1641","872","319","7054","2026"
31614,10,50,5220,5200,5074,"39.0080447932509",53,1,0,4,3,7,2,1,"1","1.62","0.62","1.63",16,0,16,0,0,47,7,9,13,13,10,"184190","28828","0","1237","114299","4080","41280","185644","209663.75","209663.75","0","2325","211988.75","73128","70361","73863.75","44450.75","-7058","37392.75","0","37392.75","981024","673598","265533","1389089","0","2363","5893","5043","0","10360","5029","23059","695","4498","2767","1492","0","11133",0,"303","1100","3417","10791","1557","9152","1118"
32528,9,50,5120,5100,5074,"39.8535274475736",53,1,0,3,3,9,1,1,"1","2","1","2",0,0,0,0,41,41,11,10,16,16,3,"505635","24346","0","0","345915","123091","0","370261","392398","393269","871","85341","477739","138326","129667","120714","96706","-9246","87460","871","88331","329264","174353","172811","334090","4262","12341","15551","109904","0","7002","4608","56693","2034","9779","8659","413","0","4828",0,"2038","1478","0","23342","3680","4741","5057"
32570,8,47,4700,4700,4700,"32.658376285147",53,1,0,2,2,9,1,0,"1","1","0","1",23,0,23,0,0,23,2,4,6,6,3,"129331","13107","0","110","45482","3600","58608","118189","132959.87","133198.87","239","0","132959.87","54746","50479","64194.87","54799.87","-503","54296.87","239","54535.87","84285","52904","102915","37814","0","2975","3318","8658","0","960","3009","31966","1299","5071","4267","646","0","3996",0,"203","321","339","0","0","418","201"
