"","IDNUM","CDEXE","OTEXE","OTE64F","OTEFDD","OTEFDA","EXTR2","NREG","ZDEFA","ZENVI","FOAGR","FOGEN","TRA05","SEXEP","EFF10","UTANS","UTARG","UTASA","UTATO","UGBBO","UGBCA","UGBHE","UGBOV","UGBPO","UGBTO","SAFVD","SAFER","SAUTI","SUTOT","SFPTO","CHAFF","PRODV","PRODH","PRODT","PRODA","ACHAN","PRODP","PROEX","PBRTCOU","PBRTO","PBRTEXC","PITOT","PROBR","VAFER","VAPBR","EBEXP","RESEX","RESFI","RESCO","RESCP","RESE3","TAIM5","TCIR5","TCAP3","TDTE3","CHRAM","CHRSE","CHRPH","CHRAC","CHRAG","CHRPV","CHRCA","ELECTQUA","ENTBT","ENTMT","LFERM","LMATE","ASSRE","ASSAU","TVANR","TXPRO","TAXES","AIMTX","FPERS","CHSOC","CFINL","CAGR4"
"1",6299,7,83,8320,6184,6184,"19.003401123543",28,1,0,1,1,10,1,0,"1","1","0","1",5,0,5,0,0,5,3,9,11,11,9,"31975","15956","0","0","4986","0","14950","35892","49834.08","49834.08","0","1750","51584.08","6311","2906","15794.08","15582.08","-38","15544.08","0","15544.08","60329","65748","121822","4255","0","751","3011","0","4195","313","2416","14168","55","1394","3405","0","182","4630",0,"238","565","177","0","0","72","0"
"2",21869,7,45,4500,4500,4500,"76.3942660391072",28,22,0,1,0,12,1,0,"1","1","0","1",13,0,13,0,0,13,7,3,9,9,7,"51174","13818","0","0","17201","0","25500","56519","72392","79392","7000","0","72392","384","-1029","11318","4818","39","4857","7000","11857","212982","81308","279744","14546","0","3145","3567","13720","810","964","5377","10032","163","2476","1413","0","0","2418",0,"1797","1274","278","0","0","0","0"
"3",21925,7,83,8310,6184,6184,"19.003401123543",28,1,0,2,1,10,1,0,"1","1","0","1",5,0,5,0,0,5,1,10,11,11,8,"62059","15892","0","109","9931","0","14850","40782","52908","81008","28100","0","52908","16190","7816","18374","13645","-61","13584","27524","41108","23089","67460","78011","14822","0","1439","1503","1011","0","0","1176","7945","230","1313","8374","0","0","2432",0,"1258","97","201","0","0","72","0"
"4",27282,6,46,4600,4600,4600,"180.522856924408",28,1,0,1,2,10,1,0,"1","1","0","1",14,0,14,0,0,14,4,7,10,10,10,"66435","-4745","0","0","24571","0","0","32040","60926.93","61499.93","573","1795","62721.93","-11649","-16227","12194.93","-5670.07","-2595","-8265.07","75","-8190.07","241814","28729","205915","65635","0","0","0","2738","0","495","4025","1489","4181","7336","4578","0","0","5642",0,"0","67","276","0","0","2588","121"
"5",27492,10,83,8310,6184,6184,"23.0681679128226",28,1,0,2,2,9,1,0,"2","2","0","2",31,0,31,0,0,31,1,24,24,24,11,"766511","453472","0","3150","29065","0","234611","720298","772928.41","774511.41","1583","0","772928.41","406519","359334","400001.41","286670.41","-7694","278976.41","1583","280559.41","618876","532029","622410","521648","0","52486","39156","44856","0","0","23299","52376","3373","28813","47185","1984","0","8121",0,"3913","31","2070","0","0","9150","588"
"6",27527,9,29,2912,2900,2829,"3.07993511286836",28,1,0,2,2,10,1,3,"3","6.98","4.02","7.02",0,0,0,0,0,0,1,0,1,1,0,"503975","0","498525","0","0","0","0","498525","498964","499159","195","0","498964","147962","147962","72602","66061","-922","65139","195","65334","130976","239840","242924","129619","13457","185409","4116","0","0","0","1","16424","149","11133","0","1950","0","9219",0,"0","381","1257","63614","10117","576","769"
"7",28821,9,45,4500,4500,4500,"42.6481373060645",28,1,0,1,1,4,1,0,"2","2","0","2",29,0,29,0,0,29,0,18,18,18,15,"354604","29814","0","0","32233","0","273268","337154","373617","375604","1987","11770","385387","97280","76381","108623","71642","-7067","64575","1987","66562","312561","92907","100730","304738","2606","9915","11762","70040","0","8808","12444","43392","7274","10560","20899","0","2196","7422",0,"1661","0","1503","0","0","5040","2426"
"8",28865,8,15,1510,1500,1516,"70.2197630751298",28,22,0,1,1,11,1,0,"1","1","0","1",0,0,0,0,0,0,5,6,15,15,0,"105986","112336","0","4105","0","0","0","116441","140165","140165","0","0","140165","37122","28073","48050","29600","-390","29210","0","29210","282348","138493","387215","33626","2169","5721","18314","0","0","0","4121","1400","0","7846","9049","0","4815","6025",0,"1301","1008","340","0","0","794","139"
"9",31002,9,15,1510,1500,1516,"39.0672367480664",28,1,0,1,2,7,1,0,"2","2","0","2",12,0,12,0,0,12,0,26,26,26,11,"258637","207076","0","0","38064","0","0","294156","346193","347775","1582","4530","350723","72080","26763","75212","45205","-1497","43708","1582","45290","316711","171047","206309","281449","0","14309","33784","11214","0","548","20317","9510","2029","24756","45317","0","2479","5393",0,"2297","0","655","0","0","1914","84"
"10",31030,8,45,4500,4500,4500,"73.3105604665629",28,22,0,3,2,7,1,1,"1","1.84","0.84","1.85",20,0,20,0,0,20,0,14,14,14,14,"200660","-5500","0","0","22602","0","162458","190365","221796","223196","1400","0","221796","45631","29618","37950","17023","-281","16742","1076","17818","197020","91318","196789","91549","0","6295","1654","30469","3420","7441","4881","20624","1086","8173","16013","0","704","5386",0,"4276","0","656","15223","2277","738","86"
